temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
69,28,7.5,0,10,75,8,29.82,0
69,28,7.5,0,10,77,5,29.85,0
69,28,7.5,0,10,70,0,29.89,5418
69,28,7.5,0,10,33,0,29.91,25477
69,28,7.5,0,10,21,3,29.89,30069
69,28,7.5,0,10,20,23,29.85,16280
69,28,7.5,0,10,36,15,29.83,515
69,28,7.5,0,10,49,6,29.86,0
72,29,6.8,0,10,67,6,29.86,0
72,29,6.8,0,10,49,0,29.87,0
72,29,6.8,0,10,54,0,29.9,4939
72,29,6.8,0,10,64,0,29.92,24335
72,29,6.8,0,10,23,9,29.88,29025
72,29,6.8,0,10,30,18,29.84,15408
72,29,6.8,0,10,65,11,29.84,491
72,29,6.8,0,10,75,5,29.85,0
73,29,7.9,0,10,72,6,29.84,0
73,29,7.9,0,10,78,6,29.86,0
73,29,7.9,0,10,63,0,29.88,4854
73,29,7.9,0,10,69,3,29.88,23855
73,29,7.9,0,10,33,10,29.84,28339
73,29,7.9,0,10,27,20,29.81,15308
73,29,7.9,0,10,53,14,29.81,455
73,29,7.9,0,10,70,6,29.85,0
76,30,6.9,0,10,73,0,29.83,0
76,30,6.9,0,10,78,6,29.82,0
76,30,6.9,0,10,70,0,29.84,4750
76,30,6.9,0,10,64,3,29.85,23555
76,30,6.9,0,10,62,6,29.79,27741
76,30,6.9,0,10,30,15,29.75,14917
76,30,6.9,0,10,27,17,29.74,429
76,30,6.9,0,10,33,5,29.77,0
77,29,8.5,0,10,53,3,29.77,0
77,29,8.5,0,10,70,7,29.76,0
77,29,8.5,0,10,61,0,29.8,4804
77,29,8.5,0,10,64,3,29.82,23551
77,29,8.5,0,10,49,5,29.78,27963
77,29,8.5,0,10,19,22,29.75,14980
77,29,8.5,0,10,51,15,29.76,423
77,29,8.5,0,10,37,8,29.79,0
75,30,8.6,1,10,57,6,29.78,0
75,30,8.6,1,10,73,3,29.78,0
75,30,8.6,1,10,52,3,29.81,4562
75,30,8.6,1,10,66,3,29.82,22761
75,30,8.6,0,10,29,16,29.79,28193
75,30,8.6,0,10,39,18,29.75,14835
75,30,8.6,0,10,57,14,29.74,375
75,30,8.6,0,10,65,8,29.76,0
62,29,14.9,1,10,81,8,29.76,0
62,29,14.9,1,10,87,7,29.74,0
62,29,14.9,1,10,84,8,29.76,2963
62,29,14.9,1,10,68,14,29.77,24553
62,29,14.9,1,10,61,22,29.73,29986
62,29,14.9,1,10,70,25,29.71,15403
62,29,14.9,1,10,87,22,29.73,379
62,29,14.9,1,10,90,13,29.75,0
64,31,5.8,3,10,90,7,29.76,0
64,31,5.8,4,10,87,5,29.75,0
64,31,5.8,4,9,87,0,29.77,249
64,31,5.8,1,9,73,5,29.78,9910
64,31,5.8,1,10,59,10,29.75,28515
64,31,5.8,1,10,61,14,29.7,17490
64,31,5.8,1,10,73,6,29.72,773
64,31,5.8,1,10,87,6,29.75,0
63,21,10.5,3,10,84,7,29.76,0
63,21,10.5,3,10,78,7,29.75,0
63,21,10.5,4,10,81,8,29.78,65
63,21,10.5,4,10,73,5,29.8,5219
63,21,10.5,1,10,63,15,29.76,10789
63,21,10.5,1,10,68,20,29.74,5208
63,21,10.5,1,10,78,7,29.74,60
63,21,10.5,3,10,81,13,29.76,0
64,28,9.7,3,10,81,7,29.76,0
64,28,9.7,4,10,81,7,29.77,0
64,28,9.7,4,10,78,7,29.8,1346
64,28,9.7,3,10,68,3,29.84,18380
64,28,9.7,1,10,59,16,29.81,28891
64,28,9.7,1,10,63,18,29.8,14687
64,28,9.7,1,10,81,15,29.82,345
64,28,9.7,1,10,84,8,29.85,0
61,29,11.4,2,10,87,10,29.85,0
61,29,11.4,4,10,87,3,29.85,0
61,29,11.4,4,8,84,3,29.87,292
61,29,11.4,2,10,73,3,29.87,10767
61,29,11.4,1,10,68,21,29.84,27641
61,29,11.4,1,10,75,23,29.81,13835
61,29,11.4,1,10,87,18,29.83,145
61,29,11.4,1,10,87,10,29.86,0
60,28,11.7,3,10,90,13,29.87,0
60,28,11.7,3,10,83,8,29.87,0
60,28,11.7,4,10,86,5,29.9,229
60,28,11.7,4,9,81,7,29.93,4349
60,28,11.7,1,10,68,16,29.88,19126
60,28,11.7,1,10,73,21,29.85,14692
60,28,11.7,3,10,80,13,29.88,436
60,28,11.7,3,10,86,9,29.9,0
61,29,9,3,10,80,8,29.9,0
61,29,9,4,10,80,6,29.87,0
61,29,9,4,10,83,5,29.9,408
61,29,9,4,10,72,3,29.93,11376
61,29,9,2,10,61,16,29.89,28611
61,29,9,2,10,65,17,29.86,14587
61,29,9,1,10,81,14,29.89,239
61,29,9,1,10,83,7,29.93,0
62,29,10.1,4,10,83,5,29.94,0
62,29,10.1,4,10,87,3,29.94,0
62,29,10.1,4,10,84,5,29.97,250
62,29,10.1,3,9,73,7,30,15149
62,29,10.1,1,10,63,15,29.96,28581
62,29,10.1,1,10,68,21,29.94,13787
62,29,10.1,1,10,78,18,29.97,218
62,29,10.1,1,10,83,13,29.99,0
60,28,12.6,3,10,86,9,29.99,0
60,28,12.6,4,10,87,7,29.97,0
60,28,12.6,4,7,90,7,30.01,413
60,28,12.6,3,7,78,5,30.01,17412
60,28,12.6,1,10,63,16,29.95,28239
60,28,12.6,1,10,70,22,29.92,13397
60,28,12.6,1,10,83,18,29.94,193
60,28,12.6,1,10,90,13,29.96,0
59,28,12.7,2,10,90,11,29.97,0
59,28,12.7,3,10,83,9,29.96,0
59,28,12.7,4,9,83,9,29.97,685
59,28,12.7,3,10,72,7,29.98,16170
59,28,12.7,1,10,63,21,29.94,28148
59,28,12.7,2,10,67,20,29.92,13455
59,28,12.7,1,10,80,14,29.95,198
59,28,12.7,2,10,78,11,29.99,0
62,24,9.6,4,10,75,10,30,0
62,24,9.6,4,10,72,7,29.99,0
62,24,9.6,4,10,70,3,30.03,332
62,24,9.6,4,10,63,10,30.07,5866
62,24,9.6,2,10,52,10,30.04,22094
62,24,9.6,0,10,54,17,30.01,13893
62,24,9.6,0,10,70,9,30,154
62,24,9.6,0,10,72,6,30.01,0
60,26,7.9,1,10,78,6,30.01,0
60,26,7.9,1,10,86,0,29.99,0
60,26,7.9,1,10,83,0,30.02,4342
60,26,7.9,1,10,56,10,30.05,24175
60,26,7.9,0,10,49,15,30.02,29378
60,26,7.9,0,10,51,15,29.98,13686
60,26,7.9,1,10,65,8,29.96,112
60,26,7.9,0,10,67,6,29.98,0
63,21,7.3,1,10,78,3,29.99,0
63,21,7.3,1,10,80,5,29.98,0
63,21,7.3,1,10,80,3,29.99,4232
63,21,7.3,1,10,63,9,30,22783
63,21,7.3,3,10,61,9,29.98,24479
63,21,7.3,4,10,63,10,29.97,1628
63,21,7.3,4,10,81,11,29.98,0
63,21,7.3,3,10,81,6,29.99,0
65,28,10.3,4,10,87,8,30.01,0
65,28,10.3,4,10,90,8,30.01,0
65,28,10.3,4,10,84,6,30.03,650
65,28,10.3,4,10,70,9,30.05,9141
65,28,10.3,2,10,63,11,30.03,25527
65,28,10.3,3,10,75,15,30.01,12847
65,28,10.3,4,10,87,14,30,122
65,28,10.3,3,10,87,15,30,0
63,27,14.4,3,10,87,8,29.97,0
63,27,14.4,3,10,81,13,29.96,0
63,27,14.4,4,10,84,8,29.98,997
63,27,14.4,2,10,70,10,29.99,12786
63,27,14.4,2,10,65,20,29.97,28277
63,27,14.4,2,10,70,24,29.96,12816
63,27,14.4,1,10,78,16,29.94,81
63,27,14.4,1,10,84,11,29.96,0
66,29,7.3,1,10,87,0,29.96,0
66,29,7.3,0,10,86,3,29.95,0
66,29,7.3,1,10,81,0,30,4026
66,29,7.3,1,10,70,5,30.02,23081
66,29,7.3,1,10,34,16,29.99,27284
66,29,7.3,0,10,48,17,29.96,12287
